customerid,churn_proba,churn_risk_segment
7590-VHVEG,0.8294447432557172,Very High
5575-GNVDE,0.12991781880259196,Very Low
3668-QPYBK,0.6111197017094535,High
7795-CFOCW,0.14511423990715852,Very Low
9237-HQITU,0.8589004581714424,Very High
9305-CDSKC,0.8809995972630282,Very High
1452-KIOVK,0.7062035780081655,High
6713-OKOMC,0.617588048822688,High
7892-POOKP,0.8140093366805689,Very High
6388-TABGU,0.03864990374578062,Very Low
9763-GRSKD,0.4279492293402209,Moderate
7469-LKBCI,0.06719853385758504,Very Low
8091-TTVAX,0.26897872500704384,Low
0280-XJGEX,0.6156383538016896,High
5129-JLPIS,0.7882957839096435,High
3655-SNQYZ,0.11900195870283532,Very Low
8191-XWSZG,0.027029600398351516,Very Low
9959-WOFKT,0.09798632461854946,Very Low
4190-MFLUW,0.39128140565452313,Low
4183-MYFRB,0.7825831706947597,High
8779-QRDMV,0.8707234031884811,Very High
1680-VDCWW,0.1454167682963827,Very Low
1066-JKSGK,0.41408208139074043,Moderate
3638-WEABW,0.049678231863416626,Very Low
6322-HRPFA,0.1364678769793871,Very Low
6865-JZNKO,0.3380103020445209,Low
6467-CHFZW,0.6622974819735599,High
8665-UTDHZ,0.7404168589670339,High
5248-YGIJN,0.051975945083054,Very Low
8773-HHUOZ,0.4243432519129221,Moderate
3841-NFECX,0.16443805584093385,Very Low
4929-XIHVW,0.8377204338436389,Very High
6827-IEAUQ,0.1399913063957749,Very Low
7310-EGVHZ,0.409767434093767,Moderate
3413-BMNZE,0.5974064799427135,Moderate
6234-RAAPL,0.0852749807234489,Very Low
6047-YHPVI,0.8452316920596258,Very High
6572-ADKRS,0.4851361213885346,Moderate
5380-WJKOV,0.7937935356764755,High
8168-UQWWF,0.8103844394170205,Very High
8865-TNMNX,0.21365702485611293,Low
9489-DEDVP,0.030670483919615354,Very Low
9867-JCZSP,0.09970202330367571,Very Low
4671-VJLCL,0.05787798667822531,Very Low
4080-IIARD,0.6927711298554581,High
3714-NTNFO,0.647393196386675,High
5948-UJZLF,0.5331644045449986,Moderate
7760-OYPDY,0.8610175175171072,Very High
7639-LIAYI,0.0854751218261626,Very Low
2954-PIBKO,0.02755365726217867,Very Low
8012-SOUDQ,0.7616165070590325,High
9420-LOJKX,0.7449756174631273,High
6575-SUVOI,0.5465133431649625,Moderate
7495-OOKFY,0.8442018809030577,Very High
4667-QONEA,0.0907894319918495,Very Low
1658-BYGOY,0.8767222377265514,Very High
8769-KKTPH,0.26095709849649207,Low
