order_id,order_date,store_id,product_id,qty,unit_price,discount,channel,unit_cost,revenue,cost,profit,Rev_Calc,Rev_Diff,rev_flag
18,04-Nov-24,S003,P009,6,20,0,In-Store,11.8029,120,70.8172,49.1828,120,0,OK
37,20-Feb-24,S002,P007,6,20,0,Online,11.782,120,70.6919,49.3081,120,0,OK
50,11-Nov-24,S003,P002,6,20,0,In-Store,12.6326,120,75.7957,44.2043,120,0,OK
135,15-Jan-24,S001,P001,6,20,0,In-Store,11.0646,120,66.3876,53.6124,120,0,OK
643,29-Aug-24,S001,P009,6,20,0,Online,12.4108,120,74.4646,45.5354,120,0,OK
653,09-Jul-24,S003,P006,6,20,0,Online,11.7928,120,70.7568,49.2432,120,0,OK
909,28-Jan-24,S001,P002,6,20,0,In-Store,15.3714,120,92.2285,27.7715,120,0,OK
910,20-Jul-24,S001,P010,6,20,0,In-Store,15.9391,120,95.6345,24.3655,120,0,OK
999,19-Oct-24,S002,P006,6,20,0,In-Store,11.8372,120,71.0232,48.9768,120,0,OK
1443,28-May-24,S004,P001,6,20,0,Online,13.6251,120,81.7509,38.2491,120,0,OK
1699,17-Dec-24,S002,P005,6,20,0,Online,14.5125,120,87.0748,32.9252,120,0,OK
1993,01-Jan-24,S002,P006,6,20,0,In-Store,11.1691,120,67.0147,52.9853,120,0,OK
2439,10-Dec-24,S001,P001,6,20,0,Online,12.1784,120,73.0705,46.9295,120,0,OK
2474,03-Jun-24,S003,P004,6,20,0,In-Store,13.7669,120,82.6014,37.3986,120,0,OK
2567,20-Feb-24,S003,P005,6,20,0,In-Store,11.3225,120,67.935,52.065,120,0,OK
2884,21-Jan-24,S003,P009,6,20,0,Online,12.0488,120,72.2928,47.7072,120,0,OK
2959,04-Sep-24,S002,P005,6,20,0,Online,13.3043,120,79.8259,40.1741,120,0,OK
3246,25-Jun-24,S003,P005,6,20,0,In-Store,13.2167,120,79.2999,40.7001,120,0,OK
3526,10-Jul-24,S003,P004,6,20,0,Online,12.5911,120,75.5465,44.4535,120,0,OK
3557,22-Jan-24,S002,P006,6,20,0,Online,11.7541,120,70.5249,49.4751,120,0,OK
3598,06-May-24,S001,P008,6,20,0,In-Store,12.4968,120,74.981,45.019,120,0,OK
3656,02-Dec-24,S003,P007,6,20,0,In-Store,13.3466,120,80.0794,39.9206,120,0,OK
3748,30-Oct-24,S003,P005,6,20,0,In-Store,10.3056,120,61.8336,58.1664,120,0,OK
3879,13-Apr-24,S002,P007,6,20,0,In-Store,11.8166,120,70.8995,49.1005,120,0,OK
4192,04-Aug-24,S003,P001,6,20,0,Online,11.1108,120,66.6647,53.3353,120,0,OK
4201,16-Jul-24,S002,P006,6,20,0,Online,13.4213,120,80.5277,39.4723,120,0,OK
4535,01-Feb-24,S002,P001,6,20,0,In-Store,10.3332,120,61.9989,58.0011,120,0,OK
4739,01-Apr-24,S001,P006,6,20,0,Online,15.2065,120,91.239,28.761,120,0,OK
4905,28-Feb-24,S001,P006,6,20,0,Online,13.7507,120,82.5043,37.4957,120,0,OK
4908,04-Dec-24,S002,P001,6,20,0,In-Store,12.3545,120,74.1272,45.8728,120,0,OK
4949,29-Jan-24,S002,P008,6,20,0,In-Store,11.3982,120,68.3891,51.6109,120,0,OK
5158,23-Nov-24,S001,P010,6,20,0,Online,13.1881,120,79.1287,40.8713,120,0,OK
5318,08-May-24,S001,P010,6,20,0,Online,14.1495,120,84.8968,35.1032,120,0,OK
5478,11-Dec-24,S001,P004,6,20,0,Online,12.3691,120,74.2149,45.7851,120,0,OK
5505,07-Apr-24,S003,P006,6,20,0,Online,15.9367,120,95.6199,24.3801,120,0,OK
5523,06-Jan-24,S001,P008,6,20,0,Online,10.3863,120,62.3176,57.6824,120,0,OK
5579,25-Mar-24,S003,P007,6,20,0,In-Store,10.4283,120,62.5698,57.4302,120,0,OK
5585,27-Nov-24,S003,P010,6,20,0,In-Store,11.2362,120,67.4172,52.5828,120,0,OK
5699,11-Jun-24,S001,P005,6,20,0,In-Store,15.3935,120,92.3612,27.6388,120,0,OK
5766,02-Sep-24,S002,P009,6,20,0,Online,14.2974,120,85.7843,34.2157,120,0,OK
5814,10-Jun-24,S001,P005,6,20,0,Online,11.9276,120,71.5653,48.4347,120,0,OK
