order_id,order_date,store_id,product_id,qty,unit_price,discount,channel,unit_cost,revenue,cost,profit
1,2024-04-12,S001,P005,5,50,0.1,In-Store,32.14223407459962,225.0,160.7111703729981,64.28882962700189
2,2024-12-14,S002,P006,9,30,0.0,Online,16.612568702057683,270.0,149.51311831851913,120.48688168148087
3,2024-09-27,S004,P006,3,50,0.2,Online,27.49559049844472,120.0,82.48677149533415,37.51322850466585
4,2024-04-16,S004,P007,3,10,0.0,Online,6.624947059212446,30.0,19.87484117763734,10.12515882236266
5,2024-03-12,S004,P009,9,50,0.2,In-Store,35.730829213803226,360.0,321.57746292422905,38.42253707577095
6,2024-07-07,S004,P005,9,50,0.2,In-Store,38.738332426304545,360.0,348.6449918367409,11.355008163259072
7,2024-01-21,S001,P005,4,50,0.0,In-Store,31.1074243387697,200.0,124.4296973550788,75.5703026449212
8,2024-04-12,S002,P004,1,10,0.2,In-Store,5.976455936166284,8.0,5.976455936166284,2.0235440638337163
9,2024-05-01,S004,P010,1,30,0.1,Online,23.41465555957826,27.0,23.41465555957826,3.585344440421739
10,2024-08-02,S003,P004,9,50,0.1,Online,31.80418418422657,405.0,286.23765765803915,118.76234234196085
11,2024-11-26,S003,P008,6,30,0.0,Online,19.684531845045512,180.0,118.10719107027307,61.892808929726925
12,2024-03-28,S002,P002,5,10,0.05,In-Store,6.347703794099539,47.5,31.738518970497694,15.761481029502306
13,2024-04-09,S003,P010,3,40,0.2,In-Store,29.21885414270479,96.0,87.65656242811437,8.34343757188563
14,2024-12-25,S001,P008,3,50,0.05,Online,26.067549279797685,142.5,78.20264783939305,64.29735216060695
15,2024-05-31,S001,P002,2,30,0.0,In-Store,22.52759070615891,60.0,45.05518141231782,14.944818587682178
16,2024-05-10,S002,P001,7,50,0.1,In-Store,30.878991036014213,315.0,216.1529372520995,98.84706274790051
17,2024-05-29,S004,P010,9,20,0.0,Online,15.795481389737127,180.0,142.15933250763413,37.84066749236587
18,2024-11-04,S003,P009,6,20,0.0,In-Store,11.802860362441567,120.0,70.81716217464941,49.18283782535059
19,2024-09-14,S003,P008,1,10,0.2,Online,6.410875864996544,8.0,6.410875864996544,1.5891241350034564
20,2024-12-09,S002,P006,6,30,0.2,Online,18.801553092743532,144.0,112.80931855646119,31.190681443538807
21,2024-10-20,S002,P004,8,30,0.05,Online,22.21282306930344,228.0,177.70258455442752,50.29741544557248
22,2024-07-10,S003,P002,8,50,0.05,In-Store,35.07351528887799,380.0,280.58812231102394,99.41187768897606
23,2024-10-03,S004,P008,3,20,0.0,Online,13.881148629325592,60.0,41.643445887976775,18.356554112023225
24,2024-06-09,S002,P003,1,50,0.2,In-Store,35.71487212344909,40.0,35.71487212344909,4.285127876550909
25,2024-11-09,S001,P010,5,50,0.0,In-Store,39.386103827188414,250.0,196.93051913594206,53.06948086405794
26,2024-01-22,S003,P004,6,10,0.2,Online,6.433868117603092,48.0,38.603208705618556,9.396791294381444
27,2024-09-09,S002,P005,9,40,0.1,In-Store,27.820223407216975,324.0,250.3820106649528,73.61798933504721
28,2024-08-23,S002,P004,2,10,0.2,Online,7.051686864489928,16.0,14.103373728979856,1.8966262710201445
29,2024-12-10,S002,P008,1,10,0.05,In-Store,7.571239343933154,9.5,7.571239343933154,1.9287606560668458
30,2024-02-18,S003,P009,7,10,0.0,Online,5.864639550045841,70.0,41.052476850320886,28.947523149679114
31,2024-02-28,S001,P001,2,50,0.2,In-Store,37.09502809139579,80.0,74.19005618279158,5.809943817208421
32,2024-06-18,S001,P002,2,50,0.05,In-Store,32.4888615335156,95.0,64.9777230670312,30.022276932968794
